DWH_REFERENZPREISE_CHE;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23
01.01.2023;0.03;-7.25;-3.99;-7.71;-9.71;-15.15;-14.33;-0.66;0.02;-1.23;-6.11;0.28;2.96;-0.79;3.06;9.53;19.95;30.46;34.39;35.15;29.57;24.92;20.72;13.46
02.01.2023;40.37;29.23;22.28;14.17;24.94;48.84;74.52;112.32;123.03;125.92;127.31;125.47;129.43;120.34;132.27;136.2;145.91;153.85;161.43;154.75;148.62;134.97;121.01;112.1
03.01.2023;119.17;113.38;108.94;101.05;105.86;119.07;156.05;183.96;185.2;186.56;184.08;179.02;171.42;167.95;170.04;171.8;172.47;186.24;180.86;171.49;158.72;147.74;141.58;113.49
04.01.2023;80.22;71.96;71.22;70.09;79.18;106.23;145.67;181.63;192.79;185.88;180.14;172.57;166.64;171.66;176.73;180.55;181.81;186.33;182.05;173.16;159.75;130.54;119.55;108.45
05.01.2023;62.41;60.62;67.54;68.91;75.83;102.28;140.98;179.94;190.69;178.06;186.77;177.93;169.17;181.11;181.9;187.15;188.83;187.76;187.63;178.01;156.19;124.91;113.49;102.8
06.01.2023;58.4;57.11;58.87;56.35;67.47;92.16;144.22;191.97;199.12;178.03;174.05;162.24;151.01;162.76;169.23;181.08;186.62;183.36;164.45;141.86;133.24;108.68;101.13;93.21
07.01.2023;88.96;86.02;83.99;77.87;82.53;96.69;119.69;152.1;160.48;161.07;178.2;173.12;162.74;175.54;180.16;189.43;194.93;184.64;159.46;136.77;130.14;111.72;108.12;106.44
08.01.2023;87.59;83.07;78.04;65.33;68.79;82.84;108.17;128.11;127.02;125.73;143.74;144.98;139.23;142.06;142.39;164.68;185.16;189.77;176.03;167.72;159.88;137.84;128.65;125.59
09.01.2023;128.6;124.21;119.18;115.1;119.8;143.94;193.74;237.68;250.36;234.48;220.22;214.53;202.11;202.55;208.71;218.65;226.67;245.04;256.32;249.21;220.17;183.43;166.44;151.92
10.01.2023;153.89;145.45;140.86;136.5;136.33;146.72;168.98;194.95;231.24;231.88;226.11;221.16;214.28;211.02;210.28;213.55;218.47;232.99;238.84;229.54;189.51;174.39;168.43;159.73
