DWH_REFERENZPREISE_AT;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23
01.01.2023;12.06;-0.1;-0.66;-1.99;-2.42;-1.86;-3.35;0;-0.22;0.29;0.73;1.14;1.34;1.53;5.78;23.85;36.54;46.03;52.71;54.95;49.05;44.14;45.96;35
02.01.2023;82.06;73.03;52.93;46.12;50.08;78.1;105.08;140.64;147.08;149.23;145.61;143.35;144.38;143.76;148.2;155.34;163;171.32;174.74;164.9;153;141.67;134.91;124.22
03.01.2023;130.01;120;118.76;115;113.63;116.27;138.92;159.92;169.17;171.18;168.57;169.49;164.5;160.91;163.06;171.42;174.99;171.27;169.02;160.99;149.62;134.69;119.44;103.97
04.01.2023;118.67;111.45;107.35;103.71;107.6;121.6;149.47;178.62;177.65;176.32;172.05;170.34;166.64;162.66;165.1;169.09;174.23;185.47;182.76;176.28;167.79;151;143.34;127.37
05.01.2023;125.37;117.68;113.24;109.76;113.86;129.8;159.67;190.91;219.99;217.78;212.1;210.09;205.4;200.31;203.43;208.75;215.28;229.93;226.26;217.78;179.45;160.58;153.28;134.58
06.01.2023;98.28;92.61;88.49;84.82;87.36;96.22;116.91;139.15;149.31;146.92;142.58;143.56;139.06;133.51;134.11;138.22;142.13;154.26;150.59;145.37;129.12;116.97;113;104.25
07.01.2023;116.42;110.26;106.04;102.22;101.47;105.23;110.16;120.57;129.56;137.62;136.68;134;131.57;126.23;123.8;125.58;129.94;137.57;143.8;139.16;125.94;113.18;111.42;102.85
08.01.2023;80;71.27;64.82;59.94;60.5;62.19;69.77;77.41;84.85;90.99;98;99.93;95.84;90.76;88.47;91.41;99.32;108.64;123.15;119.14;110.2;94.6;94.28;86.17
09.01.2023;137.93;123.57;119.12;110.82;123.34;147.52;188.36;238.4;197.81;203.04;197.11;200.24;200.63;185.81;193.29;198.61;204.06;211.58;203.73;202.17;228.85;207.7;197.75;178.72
10.01.2023;151.53;142.65;137.51;133.26;138.26;155.12;187.69;224.91;201.89;200.41;194.52;190.52;185.19;181.35;182.95;188.98;195.96;206.91;204.99;196.96;206.94;187.29;178.3;157.68
11.01.2023;151.53;142.65;137.51;133.26;138.26;155.12;187.69;224.91;201.89;200.41;194.52;190.52;185.19;181.35;182.95;188.98;195.96;206.91;204.99;196.96;206.94;187.29;178.3;157.68
12.01.2023;151.53;142.65;137.51;133.26;138.26;155.12;187.69;224.91;201.89;200.41;194.52;190.52;185.19;181.35;182.95;188.98;195.96;206.91;204.99;196.96;206.94;187.29;178.3;157.68
13.01.2023;158.17;149.13;142.71;137.42;142.11;159.15;191.65;229.6;210.57;207.44;200.86;201.93;194.19;185.39;185.92;191.78;197.28;210.45;205.14;197.75;212.73;193.26;185.88;170.1
